Ian Goldberg,34614659
Sergey Gorbunov,143892119
Maura R. Grossman,2637161
Toshiya Hachisuka,2439297
Mohammad Hajiabadi,145265266
Jason Hartford,32745519
Xi He,144080363
Urs Hengartner,2911437
Jesse Hoey,145803385
Xiao Hu,2218084191
Ihab F. Ilyas,1743316
Gautam Kamath,143835728
Craig S. Kaplan,2345263
Lila Kari,144073818
Martin Karsten,2837481
Florian Kerschbaum,1682949
George Labahn,1864343
Kate Larson,144652297
Lap Chi Lau,2739194
Edith Law,2987829
Ondřej Lhoták,3284421
Ming Li,50652024
Yuying Li,47003307
Noura Limam,2367393
Jimmy Lin,145580839
Sihang Liu,5262019
Yang Lu,48518326
Bin Ma,2084598840
Sujaya Maiyya,51205357
Richard Mann,48275599
Stephen Mann,1381738461
Ali José Mashtizadeh,2121270
Shane McIntosh,1725534
Meiyappan (Mei) Nagappan,7274019
Pengyu Nie,5890416
Naomi Nishimura,3708535
Rafael Oliveira,39260804
Jeff Orchard,144461620
Tamer Özsu,1705151
Pascal Poupart,1807041
Prabhakar Ragde,2604448
Mohammad Salahuddin,10297273
Ken Salem,145527641
Semih Salihoğlu,1783781
Éric Schost,1731881
Jeffrey Shallit,1679162
Freda Shi,8815141
Shlomi Steinberg,150308822
Arne Storjohann,3286009
Chengnian Sun,34751114
Mina Tahmasbi Arashloo,2700348
David Toman,1725663
Richard Trefler,1724446
Olga Veksler,1922280
Daniel Vogel,145731603
Justin Wan,1746721
Stephen Watt,1695295
Grant Weddell,40584789
Bernard Wong,143601713
Meng Xu,2110683831
Yaoliang Yu,40508553
Hong Zhang,2146242690
Hongyang Zhang,40975176
Yizhou Zhang,2108132777
Jian Zhao,2143572915
Victor Zhong,3428769